term_uid	module_id
fgsea_msigdb_C5_GO_BP_entrez:GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACETYL_COA_METABOLIC_PROCESS	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACIDIC_AMINO_ACID_TRANSPORT	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACID_SECRETION	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACROSOME_REACTION	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_BASED_PROCESS	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_ORGANIZATION	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_POLYMERIZATION	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_NUCLEATION	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTION_POTENTIAL	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVATED_T_CELL_PROLIFERATION	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	Mf0599a86e5e5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	Mf0599a86e5e5
